timestamp,ekf_x,ekf_y,gt_x,gt_y
1.496,0.0000,-0.0000,-0.0004,-1.9999
1.497,0.0000,-0.0000,-0.0004,-1.9999
2.065,0.0000,-0.0000,-0.0004,-1.9999
2.621,0.0001,-0.0000,-0.0004,-1.9999
3.177,0.0001,-0.0000,-0.0004,-1.9999
3.737,0.0001,-0.0000,-0.0004,-1.9999
4.279,0.0001,-0.0000,-0.0004,-1.9999
4.963,0.0002,-0.0000,-0.0004,-1.9998
5.557,0.0003,-0.0000,-0.0004,-1.9998
6.157,0.0003,-0.0000,-0.0004,-1.9997
6.736,0.0004,-0.0000,-0.0004,-1.9997
7.275,0.0005,-0.0000,-0.0004,-1.9996
7.823,0.0006,-0.0000,-0.0004,-1.9996
8.398,0.0008,-0.0000,-0.0004,-1.9993
8.950,0.0009,-0.0000,-0.0004,-1.9993
9.508,0.0011,-0.0000,-0.0004,-1.9990
10.076,0.0013,-0.0000,-0.0004,-1.9990
10.641,0.0015,-0.0000,-0.0004,-1.9987
11.192,0.0017,-0.0000,-0.0004,-1.9987
11.735,0.0020,-0.0000,-0.0005,-1.9982
12.369,0.0023,-0.0000,-0.0005,-1.9982
13.161,0.0026,-0.0000,-0.0005,-1.9976
13.709,0.0029,-0.0000,-0.0005,-1.9976
14.463,0.0033,-0.0001,-0.0005,-1.9970
15.060,0.0036,-0.0001,-0.0005,-1.9970
15.652,0.0040,-0.0001,-0.0004,-1.9963
16.315,0.0045,-0.0001,-0.0004,-1.9963
17.083,0.0050,-0.0001,-0.0004,-1.9954
17.840,0.0055,-0.0002,-0.0004,-1.9954
18.563,0.0060,-0.0002,-0.0004,-1.9944
19.241,0.0068,-0.0002,-0.0004,-1.9944
19.767,0.0074,-0.0003,-0.0004,-1.9932
20.387,0.0081,-0.0003,-0.0004,-1.9932
20.912,0.0089,-0.0004,-0.0003,-1.9917
21.602,0.0098,-0.0005,-0.0003,-1.9917
22.257,0.0107,-0.0006,-0.0002,-1.9900
22.865,0.0117,-0.0007,-0.0002,-1.9900
23.498,0.0128,-0.0009,0.0000,-1.9880
24.046,0.0140,-0.0010,0.0000,-1.9880
24.594,0.0153,-0.0012,0.0003,-1.9857
25.184,0.0167,-0.0015,0.0003,-1.9857
25.774,0.0182,-0.0017,0.0007,-1.9830
26.347,0.0198,-0.0021,0.0007,-1.9830
26.938,0.0215,-0.0024,0.0012,-1.9798
27.507,0.0233,-0.0029,0.0012,-1.9798
28.032,0.0254,-0.0034,0.0020,-1.9762
28.573,0.0276,-0.0041,0.0020,-1.9762
29.161,0.0301,-0.0049,0.0032,-1.9718
29.758,0.0325,-0.0057,0.0032,-1.9718
30.296,0.0349,-0.0066,0.0046,-1.9669
30.863,0.0374,-0.0076,0.0063,-1.9619
31.401,0.0396,-0.0086,0.0063,-1.9619
31.984,0.0416,-0.0096,0.0063,-1.9619
32.553,0.0432,-0.0104,0.0082,-1.9578
33.130,0.0446,-0.0111,0.0082,-1.9578
33.796,0.0458,-0.0117,0.0097,-1.9549
34.391,0.0468,-0.0123,0.0097,-1.9549
34.931,0.0476,-0.0128,0.0109,-1.9528
35.472,0.0483,-0.0132,0.0109,-1.9528
36.006,0.0490,-0.0136,0.0118,-1.9513
36.610,0.0495,-0.0139,0.0118,-1.9513
37.145,0.0500,-0.0142,0.0125,-1.9501
37.688,0.0504,-0.0145,0.0125,-1.9501
38.289,0.0508,-0.0147,0.0130,-1.9492
39.029,0.0512,-0.0150,0.0130,-1.9492
39.565,0.0515,-0.0152,0.0135,-1.9485
40.122,0.0519,-0.0154,0.0135,-1.9485
40.691,0.0522,-0.0156,0.0139,-1.9478
41.232,0.0525,-0.0158,0.0139,-1.9478
41.790,0.0528,-0.0160,0.0143,-1.9472
42.349,0.0531,-0.0162,0.0143,-1.9472
42.890,0.0534,-0.0164,0.0147,-1.9466
43.429,0.0538,-0.0166,0.0147,-1.9466
43.987,0.0541,-0.0168,0.0151,-1.9459
44.534,0.0544,-0.0171,0.0151,-1.9459
45.082,0.0548,-0.0173,0.0156,-1.9452
45.609,0.0551,-0.0175,0.0156,-1.9452
46.320,0.0554,-0.0177,0.0160,-1.9446
47.100,0.0558,-0.0179,0.0160,-1.9446
47.643,0.0561,-0.0181,0.0164,-1.9439
48.179,0.0564,-0.0183,0.0164,-1.9439
48.715,0.0567,-0.0185,0.0168,-1.9433
49.240,0.0570,-0.0187,0.0172,-1.9427
49.798,0.0573,-0.0189,0.0172,-1.9427
50.379,0.0576,-0.0191,0.0172,-1.9427
50.919,0.0579,-0.0193,0.0176,-1.9421
51.551,0.0582,-0.0195,0.0176,-1.9421
52.085,0.0585,-0.0196,0.0180,-1.9415
52.653,0.0587,-0.0198,0.0184,-1.9409
53.199,0.0590,-0.0200,0.0184,-1.9409
