timestamp,min_front_range_m
0.772,2.6790
1.193,2.6901
1.789,2.6993
2.436,2.6966
3.023,2.6737
3.583,2.6956
4.165,2.6833
4.710,2.6978
5.248,2.7002
5.791,2.6960
6.329,2.7059
6.988,2.6977
7.604,2.6776
8.133,2.6834
8.699,2.6795
9.292,2.6793
10.015,2.6948
10.716,2.6859
11.335,2.7011
11.882,2.6855
12.472,2.6955
13.047,2.6596
13.736,2.6724
14.301,2.6829
14.873,2.7009
15.424,2.6811
15.990,2.6829
16.560,2.6927
17.338,2.6888
17.896,2.6734
18.462,2.6791
19.077,2.6734
19.607,2.6928
20.148,2.6855
20.752,2.7016
21.343,2.6824
21.906,2.6710
22.512,2.6870
23.069,2.6759
23.604,2.6760
24.149,2.6604
24.799,2.6779
25.351,2.6719
25.945,2.6477
26.508,2.6664
27.042,2.6709
27.567,2.6572
28.090,2.6680
28.710,2.6645
29.461,2.6671
30.017,2.6655
30.646,2.6573
31.194,2.6326
32.039,2.6436
32.710,2.6487
33.312,2.6336
33.900,2.6391
34.442,2.6002
34.999,2.6163
35.567,2.6532
36.238,2.6568
36.910,2.6474
37.430,2.6346
37.972,2.6325
38.535,2.6369
39.134,2.6362
40.007,2.6453
40.561,2.6317
41.109,2.6346
41.631,2.6234
42.176,2.6058
42.713,2.6383
43.259,2.6257
43.793,2.6485
44.336,2.6317
44.913,2.6396
45.494,2.6377
46.079,2.6324
46.603,2.6378
47.167,2.6271
47.706,2.6177
48.473,2.6350
49.128,2.6217
49.693,2.6214
50.317,2.6361
50.850,2.6401
51.425,2.6444
51.955,2.6346
52.505,2.6367
53.060,2.6315
53.611,2.6357
54.150,2.6217
54.726,2.6258
55.274,2.6406
55.881,2.6286
56.442,2.6299
57.000,2.6220
57.541,2.6261
58.088,2.6148
58.819,2.6240
59.484,2.6234
60.151,2.6326
60.690,2.6011
61.262,2.6211
61.831,2.6335
62.388,2.6265
63.048,2.6214
63.598,2.6217
64.168,2.6340
64.737,2.6225
65.317,2.6178
65.920,2.5829
66.472,2.6215
66.997,2.6109
67.531,2.6233
68.092,2.6229
68.682,2.6166
69.256,2.6287
69.820,2.6177
70.427,2.6058
71.209,2.6083
71.780,2.6263
72.401,2.6092
73.064,2.6276
73.599,2.6221
74.138,2.6224
74.696,2.6293
75.343,2.6168
75.895,2.6110
76.408,2.6206
76.939,2.6221
77.487,2.6026
78.040,2.6090
78.803,2.6011
79.423,2.6204
79.967,2.6241
80.508,2.6182
81.074,2.6056
81.599,2.6067
82.197,2.6068
82.868,2.6078
83.427,2.5934
83.977,2.6090
84.533,2.6041
85.072,2.6084
85.697,2.6009
86.258,2.6107
86.809,2.6240
87.357,2.6007
87.918,2.6130
88.465,2.6104
89.044,2.6046
89.599,2.6059
90.146,2.5945
90.721,2.6070
91.264,2.5875
91.820,2.6119
92.353,2.5889
92.917,2.6050
93.551,2.5951
94.422,2.5965
95.233,2.6001
95.999,2.5986
96.536,2.5986
97.105,2.6091
97.670,2.5860
98.472,2.5910
99.134,2.5891
99.684,2.5923
100.221,2.5953
100.752,2.6035
