timestamp,min_front_range_m
0.236,2.6957
0.238,2.6957
0.970,2.6862
1.678,2.6909
2.283,2.6984
2.879,2.7000
3.434,2.6874
4.203,2.6926
4.841,2.6997
5.403,2.6959
5.991,2.6979
6.523,2.7018
7.083,2.6736
7.611,2.6867
8.139,2.6773
8.686,2.6858
9.231,2.6957
9.764,2.6864
10.340,2.6830
10.872,2.6932
11.443,2.6937
12.024,2.6931
12.595,2.6916
13.140,2.6638
13.708,2.6771
14.325,2.6870
14.896,2.6777
15.422,2.6682
15.981,2.6892
16.546,2.6993
17.084,2.6669
17.659,2.6982
18.214,2.6741
18.771,2.6887
19.345,2.6677
19.876,2.6824
20.396,2.6700
20.977,2.6755
21.506,2.6883
22.085,2.6736
22.622,2.6882
23.155,2.6652
23.777,2.6711
24.480,2.6669
25.003,2.6860
25.539,2.6558
26.059,2.6542
26.593,2.6674
27.128,2.6497
27.719,2.6592
28.349,2.6654
28.934,2.6524
29.502,2.6167
30.029,2.6410
30.582,2.6287
31.228,2.6301
31.770,2.6332
32.313,2.6334
32.854,2.6270
33.526,2.6369
34.268,2.6560
34.803,2.6325
35.345,2.6352
35.904,2.6113
36.499,2.6187
37.093,2.6165
37.629,2.6082
38.227,2.6023
38.749,2.5988
39.286,2.6178
39.858,2.6089
40.382,2.6134
40.916,2.6106
41.502,2.6140
42.061,2.6088
42.595,2.6210
43.163,2.6117
43.704,2.6068
44.247,2.6133
44.791,2.6060
45.333,2.6103
45.871,2.5527
46.436,2.4674
46.960,2.4499
47.594,2.5366
48.205,3.9121
48.787,3.8684
49.330,3.8258
49.880,4.0607
50.425,4.7516
50.971,5.0291
51.545,5.0523
52.155,5.0289
52.765,5.1499
53.395,5.3034
53.917,4.4012
54.445,3.0789
55.069,3.1284
55.608,3.1730
56.201,2.8867
56.762,2.9215
57.288,2.2804
57.834,2.3099
58.385,2.3132
58.933,3.5466
59.475,3.1373
60.019,3.0209
60.620,2.9856
61.216,2.9407
61.784,2.9065
62.390,3.0137
62.924,3.4644
63.503,4.4755
64.108,4.8412
64.744,4.8310
65.378,4.8870
65.930,5.3831
66.487,6.2179
67.050,4.0033
67.594,4.0475
68.141,3.5478
68.700,3.5587
69.264,4.0928
69.804,4.0858
70.366,4.3200
70.949,6.3256
71.490,5.6671
72.027,5.1143
72.559,4.8599
73.099,4.7921
73.628,4.7875
74.180,4.7917
74.703,4.2791
75.238,3.4054
75.775,2.9402
76.326,2.6701
76.898,2.5328
77.453,2.5063
77.980,2.5123
78.523,2.5142
79.052,2.5229
79.574,2.5244
80.122,2.5638
80.644,2.7295
81.167,3.0001
81.728,2.5061
82.300,2.3984
82.829,2.4236
83.363,2.4173
83.891,2.4072
84.421,2.6671
84.953,3.4418
85.502,3.4150
86.035,3.9786
86.589,3.9540
87.143,3.9498
87.685,4.6815
88.218,6.2066
88.793,5.4963
89.331,5.0555
89.933,4.8889
90.461,4.8648
90.995,4.8626
91.576,4.8695
92.153,3.9422
92.706,3.2769
93.269,2.9093
93.856,2.7107
94.384,2.6408
94.986,2.6434
95.607,2.6533
96.218,2.6533
96.748,2.6552
97.318,2.6892
97.917,2.7893
98.441,3.0561
98.984,2.4633
99.586,2.3383
100.130,2.3477
100.659,2.3361
101.196,2.3350
101.742,2.6085
102.283,3.3029
102.879,3.2658
103.564,3.8446
104.236,3.8180
104.779,3.7997
105.314,4.3155
105.841,6.0725
106.369,5.6122
106.935,5.1568
107.465,4.9447
108.044,4.9117
108.580,4.9248
109.122,4.9190
109.683,4.1136
110.220,3.4384
110.742,3.0558
111.267,2.8369
111.808,2.7573
112.373,2.7712
112.920,2.7801
113.476,2.7796
113.998,2.7769
114.532,2.8051
115.067,2.9330
115.649,3.2223
116.169,2.2951
116.749,2.2723
117.314,2.2823
117.845,2.2714
118.369,2.2873
119.015,3.1958
