timestamp,ekf_x,ekf_y,gt_x,gt_y
0.002,0.0001,-0.0000,-0.0005,-1.9999
0.074,0.0001,-0.0000,-0.0005,-1.9999
0.698,0.0001,-0.0000,-0.0005,-1.9999
1.254,0.0001,-0.0000,-0.0005,-1.9999
1.774,0.0001,-0.0000,-0.0005,-1.9999
2.296,0.0001,-0.0000,-0.0005,-1.9999
2.824,0.0000,-0.0000,-0.0005,-1.9999
3.354,-0.0000,-0.0000,-0.0005,-2.0000
3.960,-0.0001,-0.0000,-0.0005,-2.0000
4.565,-0.0002,-0.0000,-0.0005,-2.0001
5.115,-0.0003,-0.0000,-0.0005,-2.0001
5.679,-0.0004,-0.0000,-0.0005,-2.0003
6.245,-0.0007,-0.0000,-0.0005,-2.0003
6.845,-0.0010,-0.0000,-0.0005,-2.0007
7.414,-0.0012,-0.0000,-0.0005,-2.0007
7.938,-0.0015,-0.0000,-0.0006,-2.0013
8.461,-0.0018,-0.0000,-0.0006,-2.0013
8.982,-0.0021,-0.0000,-0.0006,-2.0019
9.501,-0.0025,-0.0000,-0.0006,-2.0019
10.032,-0.0029,-0.0000,-0.0006,-2.0026
10.599,-0.0034,-0.0001,-0.0006,-2.0026
11.125,-0.0040,-0.0001,-0.0006,-2.0035
11.642,-0.0045,-0.0001,-0.0006,-2.0035
12.259,-0.0052,-0.0001,-0.0006,-2.0047
12.775,-0.0059,-0.0002,-0.0006,-2.0047
13.342,-0.0067,-0.0002,-0.0005,-2.0061
13.874,-0.0076,-0.0003,-0.0005,-2.0061
14.425,-0.0085,-0.0004,-0.0005,-2.0078
14.969,-0.0094,-0.0005,-0.0005,-2.0078
15.503,-0.0103,-0.0006,-0.0003,-2.0096
16.128,-0.0114,-0.0007,-0.0003,-2.0096
16.644,-0.0126,-0.0008,-0.0001,-2.0117
17.178,-0.0140,-0.0010,-0.0001,-2.0117
17.710,-0.0154,-0.0013,0.0002,-2.0143
18.229,-0.0171,-0.0015,0.0002,-2.0143
18.746,-0.0188,-0.0019,0.0006,-2.0174
19.360,-0.0207,-0.0023,0.0006,-2.0174
19.914,-0.0227,-0.0028,0.0013,-2.0211
20.430,-0.0249,-0.0033,0.0013,-2.0211
20.966,-0.0274,-0.0040,0.0022,-2.0255
21.511,-0.0299,-0.0048,0.0022,-2.0255
22.102,-0.0327,-0.0058,0.0035,-2.0306
22.624,-0.0357,-0.0069,0.0035,-2.0306
23.145,-0.0389,-0.0083,0.0055,-2.0366
23.679,-0.0423,-0.0099,0.0055,-2.0366
24.306,-0.0460,-0.0118,0.0083,-2.0435
24.865,-0.0499,-0.0141,0.0083,-2.0435
25.404,-0.0541,-0.0168,0.0122,-2.0513
25.927,-0.0580,-0.0196,0.0122,-2.0513
26.477,-0.0615,-0.0224,0.0173,-2.0597
27.076,-0.0644,-0.0250,0.0173,-2.0597
27.640,-0.0669,-0.0273,0.0220,-2.0665
28.279,-0.0690,-0.0294,0.0220,-2.0665
28.929,-0.0710,-0.0315,0.0258,-2.0713
29.460,-0.0708,-0.0314,0.0258,-2.0713
30.012,-0.0696,-0.0309,0.0226,-2.0675
30.542,-0.0673,-0.0308,0.0226,-2.0675
31.065,-0.0643,-0.0322,0.0034,-2.0215
31.609,-0.0615,-0.0354,0.0034,-2.0215
32.151,-0.0600,-0.0406,-0.0168,-1.9737
