timestamp,ekf_x,ekf_y,gt_x,gt_y
0.335,0.0001,-0.0000,-0.0005,-1.9999
0.338,0.0001,-0.0000,-0.0005,-1.9999
0.871,0.0001,-0.0000,-0.0005,-1.9999
1.398,0.0001,-0.0000,-0.0005,-1.9999
1.920,0.0001,-0.0000,-0.0005,-1.9999
2.456,0.0001,-0.0000,-0.0005,-1.9999
3.022,0.0001,-0.0000,-0.0005,-1.9999
3.669,0.0001,-0.0000,-0.0005,-1.9999
4.188,0.0001,-0.0000,-0.0005,-1.9999
4.826,0.0002,-0.0000,-0.0005,-1.9999
5.360,0.0003,-0.0000,-0.0005,-1.9998
5.889,0.0004,-0.0000,-0.0005,-1.9998
6.431,0.0005,-0.0000,-0.0005,-1.9996
6.969,0.0006,-0.0000,-0.0005,-1.9994
7.568,0.0008,-0.0000,-0.0005,-1.9994
8.141,0.0010,-0.0000,-0.0005,-1.9994
8.719,0.0012,-0.0000,-0.0005,-1.9990
9.295,0.0014,-0.0000,-0.0005,-1.9990
9.845,0.0016,-0.0000,-0.0006,-1.9986
10.477,0.0018,-0.0000,-0.0006,-1.9986
11.088,0.0019,-0.0000,-0.0006,-1.9982
11.616,0.0020,-0.0000,-0.0006,-1.9982
12.195,0.0021,-0.0000,-0.0006,-1.9980
12.801,0.0023,-0.0000,-0.0006,-1.9980
13.358,0.0025,-0.0000,-0.0006,-1.9977
13.944,0.0028,-0.0000,-0.0006,-1.9977
14.494,0.0031,-0.0000,-0.0006,-1.9972
15.079,0.0034,-0.0001,-0.0006,-1.9972
15.627,0.0039,-0.0001,-0.0006,-1.9965
16.148,0.0044,-0.0001,-0.0006,-1.9965
17.034,0.0049,-0.0001,-0.0006,-1.9955
17.692,0.0055,-0.0002,-0.0006,-1.9955
18.216,0.0062,-0.0002,-0.0006,-1.9943
18.879,0.0070,-0.0003,-0.0006,-1.9943
19.517,0.0078,-0.0003,-0.0006,-1.9928
20.056,0.0085,-0.0004,-0.0006,-1.9928
20.622,0.0091,-0.0004,-0.0005,-1.9913
21.175,0.0096,-0.0005,-0.0005,-1.9913
21.781,0.0101,-0.0005,-0.0005,-1.9903
22.336,0.0108,-0.0006,-0.0005,-1.9903
22.935,0.0116,-0.0007,-0.0005,-1.9890
23.527,0.0125,-0.0008,-0.0005,-1.9890
24.078,0.0135,-0.0010,-0.0003,-1.9873
24.629,0.0147,-0.0011,-0.0003,-1.9873
25.147,0.0161,-0.0014,-0.0001,-1.9849
25.694,0.0176,-0.0016,-0.0001,-1.9849
26.237,0.0194,-0.0020,0.0003,-1.9819
26.753,0.0213,-0.0024,0.0003,-1.9819
27.296,0.0235,-0.0029,0.0009,-1.9781
27.820,0.0258,-0.0036,0.0019,-1.9735
28.332,0.0284,-0.0043,0.0019,-1.9735
28.882,0.0306,-0.0050,0.0019,-1.9735
29.520,0.0325,-0.0057,0.0033,-1.9688
30.057,0.0341,-0.0063,0.0033,-1.9688
30.582,0.0354,-0.0068,0.0043,-1.9654
31.114,0.0370,-0.0075,0.0043,-1.9654
31.635,0.0390,-0.0083,0.0054,-1.9623
32.241,0.0412,-0.0094,0.0054,-1.9623
32.876,0.0439,-0.0107,0.0071,-1.9578
33.443,0.0469,-0.0123,0.0071,-1.9578
33.979,0.0502,-0.0143,0.0098,-1.9518
34.526,0.0539,-0.0168,0.0141,-1.9443
35.064,0.0579,-0.0198,0.0141,-1.9443
35.679,0.0623,-0.0234,0.0141,-1.9443
36.229,0.0669,-0.0277,0.0203,-1.9354
36.808,0.0717,-0.0330,0.0203,-1.9354
37.357,0.0762,-0.0387,0.0296,-1.9251
37.919,0.0795,-0.0436,0.0296,-1.9251
38.507,0.0821,-0.0481,0.0393,-1.9167
39.074,0.0838,-0.0514,0.0393,-1.9167
39.619,0.0850,-0.0541,0.0461,-1.9117
40.161,0.0865,-0.0575,0.0461,-1.9117
40.720,0.0881,-0.0621,0.0521,-1.9080
41.255,0.0908,-0.0718,0.0521,-1.9080
41.797,0.0994,-0.1214,0.0720,-1.9016
42.364,0.1039,-0.1773,0.0720,-1.9016
42.903,0.1071,-0.2644,0.1834,-1.8898
43.444,0.1102,-0.3563,0.1834,-1.8898
44.034,0.1132,-0.4477,0.3613,-1.8839
44.593,0.1163,-0.5396,0.3613,-1.8839
45.159,0.1195,-0.6319,0.5419,-1.8778
45.705,0.1226,-0.7235,0.5419,-1.8778
46.228,0.1261,-0.8092,0.7225,-1.8716
46.878,0.1323,-0.8802,0.7225,-1.8716
47.425,0.1407,-0.9253,0.8688,-1.8614
47.965,0.1519,-0.9465,0.8688,-1.8614
48.506,0.1718,-0.9617,0.9227,-1.8420
49.521,0.2307,-0.9806,0.9227,-1.8420
49.934,0.2852,-0.9870,0.9529,-1.7680
50.529,0.3706,-0.9919,0.9655,-1.6076
51.098,0.4592,-0.9968,0.9655,-1.6076
51.678,0.5478,-1.0015,0.9655,-1.6076
52.239,0.6365,-1.0060,0.9752,-1.4272
52.853,0.7252,-1.0104,0.9842,-1.2466
53.366,0.8138,-1.0146,0.9842,-1.2466
53.913,0.9024,-1.0186,0.9842,-1.2466
54.487,0.9909,-1.0224,0.9925,-1.0658
55.024,1.0794,-1.0261,0.9925,-1.0658
55.577,1.1664,-1.0294,1.0000,-0.8854
56.242,1.2357,-1.0321,1.0000,-0.8854
56.873,1.2760,-1.0291,1.0055,-0.7333
57.387,1.3002,-1.0200,1.0055,-0.7333
57.908,1.3126,-1.0085,0.9906,-0.6732
58.427,1.3208,-0.9905,0.9906,-0.6732
59.019,1.3211,-0.9754,0.9616,-0.6459
59.599,1.3182,-0.9683,0.9616,-0.6459
60.238,1.3191,-0.9687,0.9318,-0.6180
60.818,1.3281,-0.9713,0.9318,-0.6180
61.457,1.3443,-0.9694,0.9035,-0.5891
62.174,1.3617,-0.9592,0.9035,-0.5891
62.818,1.3738,-0.9424,0.8754,-0.5583
63.515,1.3774,-0.9252,0.8754,-0.5583
64.039,1.3752,-0.9142,0.8459,-0.5263
64.584,1.3735,-0.9116,0.8459,-0.5263
65.242,1.3787,-0.9140,0.8144,-0.4945
65.790,1.3920,-0.9148,0.8144,-0.4945
66.319,1.4096,-0.9083,0.7819,-0.4645
66.901,1.4244,-0.8939,0.7819,-0.4645
67.420,1.4315,-0.8762,0.7499,-0.4366
67.944,1.4310,-0.8622,0.7499,-0.4366
68.479,1.4283,-0.8562,0.7198,-0.4098
69.000,1.4300,-0.8572,0.7198,-0.4098
69.559,1.4398,-0.8595,0.6916,-0.3826
70.141,1.4561,-0.8564,0.6916,-0.3826
70.697,1.4724,-0.8450,0.6642,-0.3537
71.229,1.4826,-0.8281,0.6642,-0.3537
71.748,1.4845,-0.8122,0.6361,-0.3232
72.293,1.4818,-0.8032,0.6361,-0.3232
72.822,1.4813,-0.8022,0.6061,-0.2924
73.351,1.4883,-0.8048,0.6061,-0.2924
73.916,1.5028,-0.8040,0.5746,-0.2628
74.442,1.5197,-0.7952,0.5746,-0.2628
75.018,1.5320,-0.7796,0.5431,-0.2352
75.745,1.5361,-0.7630,0.5431,-0.2352
76.377,1.5342,-0.7520,0.5132,-0.2093
76.920,1.5324,-0.7491,0.5132,-0.2093
77.439,1.5371,-0.7514,0.4855,-0.1833
78.010,1.5497,-0.7521,0.4855,-0.1833
78.567,1.5664,-0.7457,0.4591,-0.1558
79.088,1.5802,-0.7318,0.4591,-0.1558
79.645,1.5864,-0.7150,0.4324,-0.1264
80.173,1.5855,-0.7022,0.4324,-0.1264
80.693,1.5831,-0.6975,0.4039,-0.0961
81.227,1.5858,-0.6990,0.4039,-0.0961
82.319,1.5968,-0.7007,0.3736,-0.0667
82.850,1.6130,-0.6961,0.3736,-0.0667
83.387,1.6278,-0.6836,0.3427,-0.0393
83.922,1.6356,-0.6669,0.3427,-0.0393
84.446,1.6357,-0.6532,0.3131,-0.0137
85.003,1.6331,-0.6470,0.3131,-0.0137
85.560,1.6346,-0.6479,0.2857,0.0115
86.115,1.6440,-0.6501,0.2857,0.0115
86.646,1.6595,-0.6470,0.2600,0.0382
87.255,1.6749,-0.6359,0.2600,0.0382
87.865,1.6839,-0.6197,0.2344,0.0668
88.447,1.6850,-0.6053,0.2344,0.0668
88.985,1.6825,-0.5980,0.2072,0.0965
89.509,1.6830,-0.5982,0.2072,0.0965
90.036,1.6914,-0.6005,0.1780,0.1256
90.553,1.7063,-0.5983,0.1780,0.1256
91.085,1.7218,-0.5880,0.1480,0.1528
91.601,1.7315,-0.5723,0.1480,0.1528
92.119,1.7332,-0.5575,0.1190,0.1781
92.670,1.7307,-0.5497,0.1190,0.1781
93.239,1.7308,-0.5494,0.0920,0.2027
93.804,1.7387,-0.5519,0.0667,0.2287
94.349,1.7533,-0.5500,0.0667,0.2287
94.891,1.7689,-0.5401,0.0667,0.2287
95.451,1.7789,-0.5245,0.0416,0.2569
95.981,1.7808,-0.5097,0.0416,0.2569
96.541,1.7783,-0.5017,0.0148,0.2865
97.219,1.7784,-0.5014,0.0148,0.2865
97.740,1.7862,-0.5038,-0.0141,0.3155
98.261,1.8007,-0.5019,-0.0438,0.3425
98.784,1.8162,-0.4920,-0.0438,0.3425
99.309,1.8259,-0.4765,-0.0438,0.3425
99.833,1.8276,-0.4619,-0.0726,0.3675
100.395,1.8251,-0.4542,-0.0726,0.3675
100.920,1.8255,-0.4541,-0.0993,0.3919
101.441,1.8335,-0.4564,-0.0993,0.3919
101.979,1.8482,-0.4541,-0.1243,0.4174
102.507,1.8634,-0.4436,-0.1243,0.4174
103.061,1.8725,-0.4278,-0.1492,0.4453
103.610,1.8735,-0.4136,-0.1492,0.4453
104.236,1.8710,-0.4066,-0.1761,0.4747
104.771,1.8719,-0.4071,-0.1761,0.4747
105.337,1.8809,-0.4092,-0.2052,0.5035
105.893,1.8961,-0.4061,-0.2052,0.5035
106.433,1.9109,-0.3948,-0.2351,0.5301
107.020,1.9190,-0.3788,-0.2351,0.5301
107.632,1.9192,-0.3653,-0.2637,0.5549
108.322,1.9167,-0.3595,-0.2637,0.5549
108.927,1.9186,-0.3606,-0.2903,0.5791
109.445,1.9286,-0.3623,-0.2903,0.5791
109.999,1.9440,-0.3578,-0.3152,0.6046
110.621,1.9597,-0.3423,-0.3152,0.6046
111.156,1.9641,-0.3295,-0.3402,0.6323
111.718,1.9633,-0.3174,-0.3402,0.6323
112.245,1.9611,-0.3132,-0.3673,0.6612
112.782,1.9645,-0.3149,-0.3968,0.6890
113.307,1.9759,-0.3157,-0.3968,0.6890
113.833,1.9915,-0.3095,-0.3968,0.6890
116.676,2.0039,-0.2958,-0.4267,0.7143
118.995,2.0085,-0.2800,-0.4552,0.7379
121.164,2.0066,-0.2694,-0.4552,0.7379
123.904,2.0051,-0.2669,-0.4814,0.7614
126.320,2.0103,-0.2690,-0.4814,0.7614
128.894,2.0261,-0.2676,-0.5061,0.7867
129.814,2.0385,-0.2602,-0.5061,0.7867
