timestamp,min_front_range_m
0.752,2.6800
1.296,2.7050
1.836,2.6872
2.383,2.6878
2.903,2.6896
3.445,2.6996
4.023,2.6898
4.694,2.6916
5.215,2.6806
5.896,2.6869
6.485,2.6681
7.093,2.6929
7.701,2.6750
8.251,2.6945
8.775,2.6777
9.324,2.7073
9.898,2.6800
10.485,2.6904
11.013,2.6979
11.534,2.6900
12.104,2.6842
12.657,2.7065
13.215,2.6962
13.789,2.7043
14.328,2.6736
14.883,2.6940
15.624,2.6819
16.144,2.6775
16.742,2.6770
17.261,2.6964
17.777,2.6930
18.314,2.6667
18.847,2.6908
19.423,2.6893
19.940,2.6937
20.503,2.6914
21.085,2.6813
21.606,2.6601
22.182,2.6789
22.736,2.6915
23.274,2.6674
23.793,2.6804
24.313,2.6713
24.831,2.6917
25.352,2.6759
25.936,2.6829
26.481,2.6760
27.005,2.6916
27.537,2.6902
28.162,2.6689
28.719,2.6774
29.345,2.6594
29.915,2.6513
30.973,2.6457
31.560,2.6700
32.111,2.6662
32.635,2.6533
33.154,2.6552
33.733,2.6339
34.284,2.6478
34.857,2.6441
35.556,2.6286
36.182,2.6211
36.762,2.6245
37.511,2.6304
38.045,2.6318
38.585,2.6084
39.161,2.6397
39.695,2.6503
40.217,2.6170
40.831,2.6251
41.378,2.6101
41.916,2.6041
42.456,2.5784
42.983,2.5045
43.515,2.4702
44.104,2.5013
44.635,2.4724
45.191,2.4981
45.755,2.4826
46.274,2.4588
46.793,2.4601
47.441,2.4550
48.154,2.4599
48.728,4.1079
49.250,4.0780
49.769,4.0833
50.325,4.0929
50.845,4.1106
51.362,4.0989
51.921,4.1054
52.511,4.1085
53.071,4.1153
53.614,4.1180
54.135,4.1330
54.666,4.1820
55.184,4.3070
55.712,4.5042
56.336,4.7943
56.933,5.1859
57.465,5.1675
57.992,5.2010
58.530,5.2026
59.123,5.2057
59.671,5.2147
60.193,5.2094
60.747,5.2100
61.275,5.2447
61.795,5.2973
62.316,5.4970
62.893,4.7416
63.800,4.7335
64.338,4.7477
64.964,3.0470
65.562,2.3942
66.281,2.2679
66.806,2.2784
67.334,2.2606
67.855,2.2565
68.434,2.2414
69.005,2.2309
69.635,2.2124
70.301,2.2202
70.824,2.2296
71.351,2.2169
72.041,2.2239
72.602,2.2212
73.147,2.2201
73.750,2.2261
74.268,2.2049
74.793,2.3627
75.314,2.3646
75.897,2.3852
76.445,2.3657
76.990,2.3774
77.538,2.3766
78.065,2.4089
78.647,4.3141
79.184,4.3435
79.738,4.3405
80.256,4.3342
80.783,4.3419
81.297,4.3343
81.834,4.3575
82.352,4.4212
82.945,4.5320
83.529,4.7418
84.061,5.0753
84.598,5.3408
85.134,5.3209
85.684,5.3383
86.200,5.3452
86.749,5.3359
87.321,5.3332
87.853,5.3258
88.435,5.3460
88.965,5.4438
89.529,5.5971
90.124,4.5236
90.652,4.5329
91.167,4.5216
91.713,2.7082
92.395,2.1230
93.027,1.9935
93.563,1.9983
94.088,1.9669
94.608,1.9815
95.136,1.9700
95.697,1.9459
96.598,1.9738
97.126,2.0942
97.654,2.0934
98.195,2.0763
98.738,2.0890
99.335,2.0656
99.855,2.0735
100.374,2.0673
100.918,2.0709
101.490,2.4820
102.034,2.4502
102.607,2.4753
103.169,2.4732
103.731,2.4794
104.314,2.4607
104.905,4.5732
105.434,4.5770
105.955,4.5972
106.519,4.5981
107.058,4.5851
107.603,4.6054
108.153,4.6145
108.682,4.7369
109.295,4.9470
109.832,5.2707
110.398,5.4145
110.937,5.4200
111.530,5.4133
112.077,5.4206
112.633,5.4160
113.175,5.4213
113.728,5.4165
114.258,5.4282
114.812,5.5404
115.341,4.3415
116.052,4.3247
116.695,4.3188
117.278,3.1400
117.801,2.0527
