timestamp,min_front_range_m
0.827,2.6967
1.336,2.6874
1.839,2.6913
2.353,2.6806
2.858,2.6839
3.370,2.6863
3.918,2.6888
5.271,2.6955
6.909,2.7105
8.364,2.7054
9.842,2.6872
11.324,2.7048
12.199,2.6728
12.708,2.6923
13.212,2.6999
13.725,2.7013
14.233,2.7031
14.746,2.6830
15.253,2.6810
15.756,2.6778
16.268,2.7074
16.782,2.6772
17.291,2.6863
17.800,2.6896
18.312,2.7047
18.817,2.6922
19.323,2.6668
19.836,2.6764
20.347,2.6856
21.005,2.6990
22.386,2.7081
23.912,2.6749
25.564,2.6846
27.609,2.6882
29.139,2.6747
29.861,2.6954
30.371,2.7005
30.888,2.6749
31.420,2.6944
31.927,2.6591
32.445,2.6697
32.943,2.6625
33.445,2.6937
33.988,2.6720
34.555,2.6721
35.068,2.6690
35.628,2.6726
37.210,2.6751
38.716,2.6854
40.286,2.6745
41.708,2.6521
43.308,2.6826
43.954,2.6558
44.473,2.6701
45.010,2.6630
45.513,2.6692
46.021,2.6390
46.531,2.6411
47.038,2.6344
47.542,2.6514
48.048,2.6377
48.558,2.6385
49.061,2.6478
49.566,2.6250
50.081,2.6174
50.605,2.6310
51.113,2.6549
51.618,2.6371
52.618,2.6383
54.046,2.6321
55.653,2.6198
57.201,2.5902
59.440,2.5808
60.670,2.5335
61.177,2.4763
61.681,2.3995
62.185,2.3469
62.695,2.3805
63.292,2.3329
63.870,2.3110
64.391,2.3050
64.917,2.2460
65.431,2.2160
65.943,3.6449
66.457,4.8530
66.974,4.8599
67.497,5.8915
68.001,5.8455
68.504,5.9099
69.019,5.9579
69.527,6.0310
70.032,6.0875
70.538,5.5218
71.039,4.9312
71.547,4.5689
72.058,4.4278
72.573,4.3805
73.077,4.4021
73.583,4.4234
74.204,1.6643
75.839,1.6540
77.309,1.6303
78.862,1.6243
80.398,1.5913
81.876,1.5321
82.467,1.4846
82.977,0.9745
83.479,0.4843
83.985,0.4278
84.498,0.3676
85.010,0.3051
85.515,0.2500
86.021,0.2535
86.529,0.2558
87.037,0.2500
87.545,0.2500
88.062,0.2988
88.944,0.2545
90.597,2.0938
93.135,2.1210
94.988,2.2095
96.626,2.3504
