timestamp,ekf_x,ekf_y,gt_x,gt_y
0.409,0.0000,-0.0000,0.0000,0.0000
0.827,0.0000,-0.0000,-0.0003,-2.0000
1.336,0.0000,-0.0000,-0.0003,-2.0000
1.839,0.0000,-0.0000,-0.0003,-2.0000
2.353,0.0000,-0.0000,-0.0003,-2.0000
2.858,0.0000,-0.0000,-0.0003,-2.0000
3.370,0.0000,-0.0000,-0.0003,-2.0000
3.918,0.0001,-0.0000,-0.0004,-1.9999
5.271,0.0001,-0.0000,-0.0004,-1.9999
6.909,0.0001,-0.0000,-0.0004,-1.9999
8.364,0.0001,-0.0000,-0.0004,-1.9999
9.842,0.0002,-0.0000,-0.0004,-1.9998
11.324,0.0002,-0.0000,-0.0004,-1.9998
12.199,0.0003,-0.0000,-0.0004,-1.9998
12.708,0.0003,-0.0000,-0.0004,-1.9997
13.212,0.0004,-0.0000,-0.0004,-1.9997
13.725,0.0005,-0.0000,-0.0004,-1.9996
14.233,0.0006,-0.0000,-0.0004,-1.9996
14.746,0.0007,-0.0000,-0.0004,-1.9994
15.253,0.0009,-0.0000,-0.0004,-1.9994
15.756,0.0010,-0.0000,-0.0004,-1.9991
16.268,0.0012,-0.0000,-0.0004,-1.9991
16.782,0.0014,-0.0000,-0.0004,-1.9988
17.291,0.0016,-0.0000,-0.0004,-1.9988
17.800,0.0018,-0.0000,-0.0004,-1.9983
18.312,0.0021,-0.0000,-0.0004,-1.9983
18.817,0.0024,-0.0000,-0.0004,-1.9979
19.323,0.0027,-0.0000,-0.0004,-1.9979
19.836,0.0030,-0.0000,-0.0004,-1.9973
20.347,0.0033,-0.0001,-0.0004,-1.9973
21.005,0.0037,-0.0001,-0.0004,-1.9966
22.386,0.0042,-0.0001,-0.0004,-1.9966
23.912,0.0046,-0.0001,-0.0004,-1.9957
25.564,0.0051,-0.0001,-0.0004,-1.9957
27.609,0.0056,-0.0002,-0.0004,-1.9948
29.139,0.0062,-0.0002,-0.0004,-1.9948
29.861,0.0068,-0.0002,-0.0003,-1.9937
30.371,0.0075,-0.0003,-0.0003,-1.9937
30.888,0.0082,-0.0004,-0.0003,-1.9923
31.420,0.0090,-0.0004,-0.0003,-1.9923
31.927,0.0098,-0.0005,-0.0002,-1.9908
32.445,0.0107,-0.0006,-0.0000,-1.9890
32.943,0.0117,-0.0007,-0.0000,-1.9890
33.445,0.0128,-0.0008,-0.0000,-1.9890
33.988,0.0139,-0.0010,0.0002,-1.9870
34.555,0.0151,-0.0012,0.0002,-1.9870
35.068,0.0164,-0.0014,0.0005,-1.9846
35.628,0.0177,-0.0017,0.0005,-1.9846
37.210,0.0192,-0.0019,0.0009,-1.9819
38.716,0.0208,-0.0023,0.0014,-1.9788
40.286,0.0225,-0.0027,0.0014,-1.9788
41.708,0.0243,-0.0031,0.0014,-1.9788
43.308,0.0262,-0.0037,0.0022,-1.9752
43.954,0.0283,-0.0043,0.0022,-1.9752
44.473,0.0305,-0.0050,0.0032,-1.9711
45.010,0.0329,-0.0058,0.0032,-1.9711
45.513,0.0354,-0.0068,0.0046,-1.9664
46.021,0.0380,-0.0079,0.0046,-1.9664
46.531,0.0409,-0.0092,0.0066,-1.9611
47.038,0.0439,-0.0107,0.0066,-1.9611
47.542,0.0470,-0.0124,0.0092,-1.9551
48.048,0.0504,-0.0144,0.0092,-1.9551
48.558,0.0539,-0.0167,0.0127,-1.9484
